,CP,nsplit,rel error,xerror,xstd
1,0.5765463158066606,0,1.0,1.001681654459415,0.06103634318764601
2,0.11342496144221578,1,0.42345368419333934,0.4771799019553512,0.04170768133408496
3,0.042366029726770914,2,0.31002872275112364,0.37630872939704135,0.034535170078463864
4,0.029039820603180312,3,0.2676626930243527,0.32703128392892034,0.031565663667865
5,0.00888964102246299,4,0.23862287242117242,0.29626554344863726,0.03098689836559127
6,0.0077911292799369754,5,0.2297332313987094,0.2908110468134661,0.030572818888866645
7,0.007268540751758899,8,0.20635984355889844,0.2912183520096074,0.030720715476614945
8,0.00522663343851822,9,0.19909130280713955,0.27486458830041877,0.029410583668443496
9,0.004973542857000026,10,0.19386466936862137,0.2757240461523011,0.030097315930543506
10,0.004569046719894302,11,0.18889112651162135,0.2731286470638591,0.029536607877944255
11,0.003917684962937526,12,0.18432207979172704,0.2829763584175665,0.03027780169292626
12,0.0035303419688827494,13,0.18040439482878953,0.28714699691394907,0.03042104263857964
13,0.0031795995025343726,14,0.17687405285990676,0.29120562902127717,0.030544637516946173
14,0.0030065891815856363,15,0.17369445335737238,0.28809176524115193,0.030172849449541208
15,0.0015941696323085973,16,0.17068786417578677,0.289242188102146,0.031529407771288105
16,0.0014897569266975488,19,0.16590535527886094,0.28718855607099664,0.031314438037211914
17,0.0012105162957759077,21,0.16292584142546584,0.2889217940171555,0.03138172245026795
18,0.0010329487146643424,22,0.16171532512968995,0.28796788522463945,0.031217102068755945
19,0.0007671970023339121,24,0.15964942770036125,0.28830115264012035,0.03098193326406411
20,0.00024795867017271886,27,0.1573478366933595,0.2879762675840298,0.030709864262337124
21,0.00015623833301343609,28,0.15709987802318678,0.28801894575507475,0.03061646312321965
22,0.000137224205616568,30,0.1567874013571599,0.2877396793498696,0.0306172273937098
23,0.0,31,0.15665017715154336,0.2877396793498696,0.0306172273937098
