,var,n,wt,dev,yval,complexity,ncompete,nsurrogate
1,alcohol,1599,1599,1042.16510319,5.63602251407,0.178220610977,0,0
2,sulphates,983,983,424.158697864,5.36622583927,0.0288857694434,0,0
4,volatile.acidity,391,391,128.097186701,5.15089514066,0.0055511130848,0,0
8,citric.acid,63,63,28.2222222222,4.88888888889,0.00490562014504,0,0
16,residual.sugar,22,22,13.5,4.5,0.0024628215422,0,0
32,<leaf>,7,7,2.0,4.0,0.0,0,0
33,<leaf>,15,15,8.93333333333,4.73333333333,0.0,0,0
17,chlorides,41,41,9.60975609756,5.09756097561,0.0013745494029,0,0
34,free.sulfur.dioxide,27,27,4.96296296296,4.96296296296,0.00105382254429,0,0
68,<leaf>,10,10,2.1,4.7,0.0,0,0
69,<leaf>,17,17,1.76470588235,5.11764705882,0.0,0,0
35,<leaf>,14,14,3.21428571429,5.35714285714,0.0,0,0
9,alcohol,328,328,94.7195121951,5.2012195122,0.0055511130848,0,0
18,fixed.acidity,209,209,44.0861244019,5.0956937799,0.00152391693847,0,0
36,total.sulfur.dioxide,37,37,8.75675675676,4.91891891892,0.00130130241099,0,0
72,<leaf>,18,18,5.61111111111,4.72222222222,0.0,0,0
73,<leaf>,19,19,1.78947368421,5.10526315789,0.0,0,0
37,chlorides,172,172,33.9244186047,5.13372093023,0.00152391693847,0,0
74,sulphates,88,88,13.8181818182,5.04545454545,0.000816951746698,0,0
148,<leaf>,8,8,1.5,4.75,0.0,0,0
149,citric.acid,80,80,11.55,5.075,0.000816951746698,0,0
298,volatile.acidity,54,54,4.0,5.0,0.000340889516265,0,0
596,<leaf>,16,16,1.75,4.875,0.0,0,0
597,free.sulfur.dioxide,38,38,1.89473684211,5.05263157895,0.000218842652417,0,0
1194,<leaf>,26,26,0.0,5.0,0.0,0,0
1195,<leaf>,12,12,1.66666666667,5.16666666667,0.0,0,0
299,pH,26,26,6.61538461538,5.23076923077,0.000816951746698,0,0
598,<leaf>,10,10,0.0,5.0,0.0,0,0
599,<leaf>,16,16,5.75,5.375,0.0,0,0
75,volatile.acidity,84,84,18.7023809524,5.22619047619,0.00152391693847,0,0
150,fixed.acidity,75,75,14.7466666667,5.17333333333,0.00133433243772,0,0
300,fixed.acidity,46,46,4.80434782609,5.0652173913,0.000531919390114,0,0
600,residual.sugar,34,34,2.0,5.0,0.000172615816192,0,0
1200,chlorides,27,27,0.962962962963,4.96296296296,0.000101538715407,0,0
2400,<leaf>,7,7,0.857142857143,4.85714285714,0.0,0,0
2401,<leaf>,20,20,0.0,5.0,0.0,0,0
1201,<leaf>,7,7,0.857142857143,5.14285714286,0.0,0,0
601,<leaf>,12,12,2.25,5.25,0.0,0,0
301,alcohol,29,29,8.55172413793,5.34482758621,0.00133358848015,0,0
602,<leaf>,15,15,1.73333333333,5.13333333333,0.0,0,0
