name,count,ncat,improve,index,adj
alcohol,1599,-1,0.178220610977,10.525,0
sulphates,983,-1,0.0709728246627,0.575,0
volatile.acidity,391,1,0.040246413026,0.7475,0
citric.acid,63,-1,0.181150374496,0.055,0
residual.sugar,22,-1,0.19012345679,1.95,0
chlorides,41,1,0.149068031048,0.0795,0
free.sulfur.dioxide,27,-1,0.221290605795,11.5,0
alcohol,328,-1,0.067725226298,9.75,0
fixed.acidity,209,1,0.0318682819042,9.25,0
total.sulfur.dioxide,37,1,0.154871489423,35.5,0
chlorides,172,1,0.0413818686312,0.0795,0
sulphates,88,-1,0.0555921052632,0.465,0
citric.acid,80,1,0.0809190809191,0.135,0
volatile.acidity,54,1,0.0888157894737,0.605,0
free.sulfur.dioxide,38,1,0.12037037037,14.5,0
pH,26,-1,0.130813953488,3.3,0
volatile.acidity,84,1,0.104570337365,0.42,0
fixed.acidity,75,-1,0.0942989174491,7.65,0
fixed.acidity,46,1,0.115384615385,6.95,0
residual.sugar,34,-1,0.0899470899471,2.55,0
chlorides,27,-1,0.10989010989,0.0725,0
alcohol,29,-1,0.162519201229,9.45,0
volatile.acidity,119,1,0.073229443811,0.5875,0
chlorides,51,1,0.081422767177,0.067,0
residual.sugar,44,-1,0.182260726073,2.05,0
alcohol,24,1,0.145271629779,10.05,0
total.sulfur.dioxide,20,1,0.358974358974,96.0,0
sulphates,68,-1,0.107912071645,0.475,0
citric.acid,59,1,0.150810226445,0.025,0
volatile.acidity,52,1,0.0985027580772,0.345,0
fixed.acidity,45,-1,0.124704840614,7.5,0
fixed.acidity,33,1,0.198902753873,9.0,0
total.sulfur.dioxide,21,1,0.284090909091,33.0,0
volatile.acidity,592,1,0.0755195172253,0.405,0
total.sulfur.dioxide,448,1,0.051259381582,65.5,0
alcohol,122,-1,0.102284355146,9.45,0
total.sulfur.dioxide,51,-1,0.151785714286,76.0,0
total.sulfur.dioxide,42,1,0.140271184125,96.5,0
chlorides,23,-1,0.103896103896,0.089,0
residual.sugar,71,1,0.122181818182,3.35,0
alcohol,55,-1,0.236111111111,10.15,0
residual.sugar,48,1,0.109502262443,2.05,0
total.sulfur.dioxide,35,1,0.114583333333,103.0,0
total.sulfur.dioxide,24,-1,0.16955017301,72.5,0
pH,326,1,0.0550352756016,3.535,0
volatile.acidity,33,1,0.248035842662,0.695,0
sulphates,26,-1,0.228006321536,0.765,0
alcohol,293,-1,0.0484814268641,9.85,0
volatile.acidity,165,1,0.0560506053698,0.555,0
pH,93,-1,0.117699497896,3.305,0
residual.sugar,42,-1,0.105000788146,2.25,0
total.sulfur.dioxide,26,-1,0.209404727288,26.0,0
residual.sugar,51,-1,0.150499706055,2.45,0
fixed.acidity,42,-1,0.144444444444,6.95,0
volatile.acidity,27,1,0.239043309632,0.655,0
total.sulfur.dioxide,72,1,0.139457896524,36.0,0
density,34,-1,0.204862306368,0.99805,0
fixed.acidity,20,1,0.176470588235,7.65,0
free.sulfur.dioxide,38,-1,0.17215628091,5.5,0
chlorides,30,-1,0.320557491289,0.066,0
fixed.acidity,23,1,0.102678571429,8.2,0
citric.acid,128,-1,0.0885192763325,0.52,0
citric.acid,111,1,0.139181490647,0.41,0
chlorides,102,1,0.0945049933011,0.0655,0
pH,87,1,0.0802516692347,3.405,0
total.sulfur.dioxide,21,1,0.215384615385,39.5,0
citric.acid,66,1,0.0994052236876,0.205,0
free.sulfur.dioxide,36,-1,0.298542274052,10.5,0
chlorides,21,-1,0.290909090909,0.082,0
sulphates,30,-1,0.202744043756,0.645,0
density,23,1,0.322321428571,0.99665,0
sulphates,144,-1,0.112053042861,0.655,0
density,41,-1,0.177807486631,0.996325,0
density,34,1,0.270226849174,0.99765,0
pH,21,-1,0.34375,3.395,0
alcohol,103,-1,0.111678163783,9.75,0
free.sulfur.dioxide,45,1,0.193825752299,20.0,0
total.sulfur.dioxide,37,-1,0.257360796883,18.5,0
residual.sugar,24,1,0.213614857708,2.55,0
total.sulfur.dioxide,58,1,0.111493246891,50.0,0
volatile.acidity,41,-1,0.201752087768,0.255,0
citric.acid,31,1,0.154049295775,0.36,0
volatile.acidity,24,1,0.311688311688,0.35,0
sulphates,616,-1,0.129197218541,0.645,0
volatile.acidity,272,1,0.161556252585,1.015,0
volatile.acidity,262,1,0.101702698897,0.495,0
free.sulfur.dioxide,146,-1,0.0900058470767,8.5,0
density,48,1,0.13239626731,0.995145,0
alcohol,27,1,0.310512718601,10.85,0
citric.acid,21,1,0.314685314685,0.035,0
total.sulfur.dioxide,98,1,0.122659429218,19.0,0
residual.sugar,85,1,0.192041664109,3.3,0
citric.acid,78,1,0.154605179028,0.075,0
alcohol,32,-1,0.153605015674,11.35,0
chlorides,46,1,0.151878113318,0.0605,0
total.sulfur.dioxide,39,1,0.240532635468,45.5,0
sulphates,29,-1,0.232804232804,0.565,0
alcohol,116,-1,0.145865060785,11.55,0
pH,51,1,0.134592536177,3.295,0
sulphates,26,-1,0.265957446809,0.585,0
